Zoning_Subdistrict,Zoning_District,Article,Map_Number,Subdistrict_Type,Subdistrict_Use,Unique_Code,Condition_Number,Condition_Text,Additional_Restrictions_or_Foot,Municode_Reference_to_Restricti,Max_FAR,Max_Height,Front_Setback,Side_Setback,Rear_Setback,Max_Dwelling_Units_Per_Area,Max_Number_of_Floors,Dwelling_Units_Factor,Amendment_Number,Latest_Amendment_Effective_Date,Color_Hex_Code,Urban_CustomID,Urban_Name,Comments,created_user,created_date,last_edited_user,last_edited_date,Shape_Length,Shape_Area,shape_wkt
CC,Mission Hill Neighborhood,59,6D,Community Commercial,Commercial,Art59_CC,0,,,,3.000000000000000,55.000000000000000,,,20.000000000000000,,,,,,#990300,ART59-SUB008-0,ART59-Community Commercial,,,,GIS,5/7/2025 19:30:57,0.004947620138540,0.000001290807907,
WM,South Boston Neighborhood,68,4F,Waterfront Manufacturing,Industrial,Art68_WM,0,,,,2.000000000000000,65.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,,,,,,#65345F,ART68-SUB009-0,ART68-Waterfront Manufacturing,,,,GIS,5/7/2025 19:30:57,0.030529178254669,0.000041863923429,
M-4,South Boston,Underlying Zoning,4,Restricted Manufacturing,Industrial,ArtUnderlying Zoning_M-4,0,Any Dwelling,Special Restriction,,4.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,#65345F,ARTUZ-SUB031-0,ARTUZ-Restricted Manufacturing,,,,GIS,5/7/2025 19:30:57,0.011003213532448,0.000004722390563,"MULTIPOLYGON (((-71.042137965999984 42.346248247000062, -71.04545073099996 42.347945364000054, -71.04598929499997 42.347484911000038, -71.044491310999945 42.346522667000045, -71.045212620999962 42.345934179000039, -71.043680629999983 42.344929845000081, -71.042137965999984 42.346248247000062)))"
D St. NDA,South Boston Neighborhood,68,4F,Neighborhood Development Area,Mixed-Use,Art68_D St. NDA,0,,,,2.000000000000000,65.000000000000000,5.000000000000000,3.000000000000000,0.000000000000000,,,,,,#ad3800,ART68-SUB001-0,ART68-Neighborhood Development Area,,,,GIS,5/7/2025 19:30:57,0.017166119648752,0.000006929581709,
SUMMER ST. LI,South Boston Neighborhood,68,4F,Local Industrial,Industrial,Art68_SUMMER ST. LI,0,,,,3.000000000000000,50.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,,,,,,#65345F,ART68-SUB007-0,ART68-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.010081911203653,0.000005794007339,
E St. LI,South Boston Neighborhood,68,4F,Local Industrial,Industrial,Art68_E St. LI,0,,,,2.000000000000000,65.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,,,,,,#65345F,ART68-SUB002-0,ART68-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.016303445928740,0.000006144307131,
WC,South Boston Neighborhood,68,4F,Waterfront Commercial,Commercial,Art68_WC,0,,,,2.000000000000000,65.000000000000000,,0.000000000000000,0.000000000000000,,,,,,#990300,ART68-SUB008-0,ART68-Waterfront Commercial,,,,GIS,5/7/2025 19:30:57,0.009092840885272,0.000003446764836,"MULTIPOLYGON (((-71.041568988999984 42.344417601000032, -71.038780395999936 42.342744903000039, -71.038697610999975 42.342907629000081, -71.038724818999981 42.34364567700004, -71.038078858999938 42.343659857000034, -71.040598790999979 42.345263242000044, -71.041425797999977 42.344539962000056, -71.041568988999984 42.344417601000032)))"
I-2,South Boston,Underlying Zoning,4,General Industrial,Industrial,ArtUnderlying Zoning_I-2,0,,,,2.000000000000000,,,,,,,,,,#65345F,ARTUZ-SUB023-0,ARTUZ-General Industrial,setbacks not to exceed existing,,,GIS,5/7/2025 19:30:57,0.030497300069544,0.000033924455031,
First St. LI,South Boston Neighborhood,68,4F,Local Industrial,Industrial,Art68_First St. LI,0,,,,2.000000000000000,45.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,,,,,,#65345F,ART68-SUB003-0,ART68-Local Industrial,,,,GIS,5/7/2025 19:30:57,0.022783130667463,0.000010211696813,
EDA CENTRAL,South End Neighborhood,64,1P,Economic Development Area,Mixed-Use,Art64_EDA CENTRAL,0,,,,4.000000000000000,70.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,,,,,,#ad3800,ART64-SUB004-0,ART64-Economic Development Area,,,,GIS,5/7/2025 19:30:57,0.029605897453840,0.000013456540118,
